,rank_y_test,y_test,rank_preds,preds
7493,169,95.33333333333331,7,93.46235
8406,170,95.33333333333331,937,78.78459
9959,171,95.33333333333331,445,85.84178
8609,172,95.33333333333331,53,90.327934
11172,173,95.33333333333331,51,90.327934
11253,174,95.33333333333331,565,82.63668
10228,175,95.33333333333331,518,82.63668
8422,176,95.33333333333331,750,80.59065
169,177,95.33333333333331,547,82.63668
11796,178,95.33333333333331,413,85.84178
4843,179,95.0,950,78.78459
7796,180,95.0,537,82.63668
7690,181,95.0,79,90.26606
8250,182,95.0,1036,78.76075
4802,183,95.0,80,90.26606
11849,184,95.0,436,85.84178
11260,185,95.0,1,93.46235
6367,186,95.0,1538,68.34153
8098,187,95.0,116,89.330086
7490,188,95.0,22,93.46235
7564,189,95.0,118,89.330086
8373,190,95.0,412,85.84178
8345,191,95.0,259,86.54498
11178,192,95.0,509,82.63668
259,193,95.0,317,86.49682
2953,194,94.66666666666669,717,80.673836
4640,195,94.66666666666669,420,85.84178
5145,196,94.66666666666669,659,82.206276
1215,197,94.66666666666669,104,90.12629
5908,198,94.66666666666669,930,80.072296
11165,199,94.66666666666669,1087,76.758995
1459,200,94.66666666666669,929,80.072296
4455,201,94.66666666666669,456,85.84178
11570,202,94.66666666666669,792,80.43392
10013,203,94.66666666666669,238,88.42003
8566,204,94.66666666666669,249,88.42003
24,205,94.66666666666669,681,81.264694
5942,206,94.66666666666669,450,85.84178
6912,207,94.66666666666669,48,90.327934
9905,208,94.66666666666669,95,90.20518
6913,209,94.66666666666669,536,82.63668
11235,210,94.66666666666669,534,82.63668
2519,211,94.66666666666669,110,89.330086
10975,212,94.66666666666669,117,89.330086
4468,213,94.66666666666669,491,82.78222
5701,214,94.66666666666669,813,80.43392
1262,215,94.66666666666669,2525,56.448315
4413,216,94.33333333333331,444,85.84178
10754,217,94.33333333333331,61,90.26606
8046,218,94.33333333333331,159,88.55684
10363,219,94.33333333333331,40,90.327934
6699,220,94.33333333333331,498,82.78222
11384,221,94.33333333333331,875,80.43392
11699,222,94.33333333333331,660,82.206276
5360,223,94.33333333333331,727,80.673836
4593,224,94.33333333333331,655,82.206276
5079,225,94.33333333333331,37,90.327934
2703,226,94.33333333333331,1584,68.26719
4502,227,94.33333333333331,566,82.63668
2243,228,94.33333333333331,252,88.42003
9343,229,94.33333333333331,589,82.63668
10046,230,94.33333333333331,50,90.327934
11721,231,94.33333333333331,41,90.327934
8005,232,94.33333333333331,179,88.44236
5919,233,94.33333333333331,253,88.42003
11143,234,94.33333333333331,720,80.673836
5673,235,94.33333333333331,21,93.46235
9332,236,94.33333333333331,428,85.84178
9709,237,94.33333333333331,424,85.84178
11344,238,94.33333333333331,419,85.84178
2940,239,94.33333333333331,246,88.42003
9035,240,94.33333333333331,85,90.26606
10029,241,94.33333333333331,302,86.54498
4460,242,94.0,325,86.49682
2220,243,94.0,1206,75.64504
11408,244,94.0,105,90.12629
12116,245,94.0,432,85.84178
3311,246,94.0,429,85.84178
2373,247,94.0,204,88.42003
2593,248,94.0,278,86.54498
3729,249,94.0,872,80.43392
9383,250,94.0,427,85.84178
8190,251,94.0,285,86.54498
4622,252,94.0,706,80.673836
2071,253,94.0,150,89.186806
5695,254,94.0,1182,75.68213
10507,255,94.0,1025,78.76075
1349,256,94.0,288,86.54498
4914,257,94.0,1020,78.76075
11182,258,94.0,1066,76.758995
8362,259,94.0,208,88.42003
5391,260,94.0,449,85.84178
10318,261,94.0,69,90.26606
5588,262,93.66666666666669,157,89.186806
1121,263,93.66666666666669,653,82.206276
260,264,93.66666666666669,542,82.63668
5566,265,93.66666666666669,951,78.78459
4391,266,93.66666666666669,430,85.84178
12269,267,93.66666666666669,426,85.84178
7804,268,93.66666666666669,155,89.186806
9590,269,93.66666666666669,1907,66.42657
8832,270,93.66666666666669,1347,73.244995
4403,271,93.66666666666669,324,86.49682
11525,272,93.66666666666669,1058,76.758995
8087,273,93.33333333333331,414,85.84178
11564,274,93.33333333333331,266,86.54498
10168,275,93.33333333333331,1079,76.758995
7975,276,93.33333333333331,1348,73.244995
5123,277,93.33333333333331,1442,71.70239
1128,278,93.33333333333331,866,80.43392
4006,279,93.33333333333331,1086,76.758995
1216,280,93.33333333333331,42,90.327934
9989,281,93.33333333333331,855,80.43392
8774,282,93.33333333333331,931,80.072296
6260,283,93.33333333333331,966,78.78459
8996,284,93.33333333333331,178,88.44236
6952,285,93.33333333333331,513,82.63668
6211,286,93.33333333333331,1151,75.871025
6029,287,93.33333333333331,1211,75.64504
4052,288,93.33333333333331,1220,75.64504
25,289,93.33333333333331,851,80.43392
11992,290,93.33333333333331,654,82.206276
12145,291,93.33333333333331,769,80.59065
1156,292,93.0,1081,76.758995
11947,293,93.0,219,88.42003
7867,294,93.0,170,88.44236
7747,295,93.0,172,88.44236
1212,296,93.0,46,90.327934
3950,297,93.0,637,82.63668
7856,298,93.0,1933,65.97616
2330,299,93.0,858,80.43392
7605,300,93.0,216,88.42003
11507,301,93.0,666,82.206276
4126,302,93.0,641,82.63668
10094,303,93.0,220,88.42003
2773,304,93.0,1506,68.34153
1550,305,93.0,644,82.63668
9246,306,93.0,442,85.84178
5318,307,93.0,269,86.54498
4799,308,93.0,30,93.3149
3415,309,93.0,1818,67.22543
11516,310,93.0,71,90.26606
8560,311,93.0,132,89.330086
7014,312,93.0,91,90.20518
8263,313,93.0,800,80.43392
11575,314,92.66666666666669,677,81.264694
9266,315,92.66666666666669,605,82.63668
3431,316,92.66666666666669,224,88.42003
9815,317,92.66666666666669,270,86.54498
8269,318,92.66666666666669,606,82.63668
1583,319,92.66666666666669,308,86.49682
7046,320,92.66666666666669,88,90.20518
11331,321,92.66666666666669,1074,76.758995
1964,322,92.66666666666669,182,88.44236
6789,323,92.66666666666669,731,80.673836
11306,324,92.66666666666669,265,86.54498
11401,325,92.66666666666669,418,85.84178
4270,326,92.66666666666669,275,86.54498
228,327,92.66666666666669,467,85.33131
9285,328,92.66666666666669,926,80.072296
7712,329,92.66666666666669,164,88.55684
9957,330,92.66666666666669,303,86.49682
11435,331,92.66666666666669,129,89.330086
5663,332,92.66666666666669,421,85.84178
4473,333,92.33333333333331,167,88.44236
12189,334,92.33333333333331,122,89.330086
4421,335,92.33333333333331,440,85.84178
4121,336,92.33333333333331,1338,73.244995
11482,337,92.33333333333331,460,85.33131
72,338,92.33333333333331,676,81.264694
5896,339,92.33333333333331,596,82.63668
1110,340,92.33333333333331,1541,68.34153
12304,341,92.33333333333331,852,80.43392
9858,342,92.33333333333331,1148,75.871025
8476,343,92.33333333333331,33,90.53805
3757,344,92.33333333333331,593,82.63668
2184,345,92.33333333333331,831,80.43392
1425,346,92.33333333333331,431,85.84178
11853,347,92.33333333333331,225,88.42003
3268,348,92.33333333333331,67,90.26606
351,349,92.33333333333331,759,80.59065
2408,350,92.0,128,89.330086
5628,351,92.0,206,88.42003
11204,352,92.0,723,80.673836
2824,353,92.0,180,88.44236
1982,354,92.0,895,80.43392
12109,355,92.0,446,85.84178
1858,356,92.0,722,80.673836
10,357,92.0,283,86.54498
7971,358,92.0,1068,76.758995
4513,359,92.0,630,82.63668
110,360,92.0,1126,76.1609
8016,361,92.0,205,88.42003
6970,362,92.0,458,85.33131
7201,363,92.0,10,93.46235
11614,364,92.0,461,85.33131
4438,365,92.0,881,80.43392
2566,366,92.0,752,80.59065
4482,367,92.0,614,82.63668
10609,368,92.0,310,86.49682
1052,369,92.0,613,82.63668
2051,370,92.0,175,88.44236
12158,371,92.0,291,86.54498
422,372,92.0,177,88.44236
4559,373,92.0,435,85.84178
1269,374,91.66666666666669,237,88.42003
11713,375,91.66666666666669,160,88.55684
12067,376,91.66666666666669,140,89.186806
4316,377,91.66666666666669,623,82.63668
7447,378,91.66666666666669,989,78.76075
11467,379,91.66666666666669,624,82.63668
2251,380,91.66666666666669,811,80.43392
11876,381,91.66666666666669,818,80.43392
4664,382,91.66666666666669,817,80.43392
1326,383,91.66666666666669,304,86.49682
8886,384,91.66666666666669,1104,76.1609
9301,385,91.66666666666669,1003,78.76075
11299,386,91.66666666666669,300,86.54498
9840,387,91.66666666666669,1236,75.64504
5332,388,91.66666666666669,627,82.63668
6271,389,91.66666666666669,626,82.63668
4919,390,91.33333333333331,1037,78.76075
10659,391,91.33333333333331,439,85.84178
2428,392,91.33333333333331,724,80.673836
7415,393,91.33333333333331,789,80.43392
4542,394,91.33333333333331,247,88.42003
11135,395,91.33333333333331,1035,78.76075
5419,396,91.33333333333331,273,86.54498
4022,397,91.33333333333331,1519,68.34153
444,398,91.33333333333331,962,78.78459
10021,399,91.33333333333331,171,88.44236
12281,400,91.33333333333331,807,80.43392
1613,401,91.33333333333331,1667,68.158806
10067,402,91.33333333333331,794,80.43392
10356,403,91.33333333333331,621,82.63668
3237,404,91.33333333333331,826,80.43392
1751,405,91.33333333333331,622,82.63668
9834,406,91.33333333333331,135,89.330086
2753,407,91.0,788,80.43392
10710,408,91.0,617,82.63668
5324,409,91.0,243,88.42003
11238,410,91.0,306,86.49682
10944,411,91.0,1949,65.97616
8023,412,91.0,174,88.44236
4557,413,91.0,286,86.54498
10167,414,91.0,799,80.43392
11470,415,91.0,1015,78.76075
3163,416,91.0,1349,73.244995
11717,417,91.0,359,85.84178
1133,418,91.0,766,80.59065
2679,419,91.0,137,89.330086
8932,420,91.0,1416,71.847435
11334,421,91.0,471,85.33131
7099,422,91.0,349,85.84178
4935,423,91.0,1200,75.68213
11913,424,91.0,139,89.330086
7200,425,91.0,318,86.49682
4083,426,91.0,925,80.072296
8561,427,91.0,233,88.42003
7425,428,91.0,1624,68.17008
2173,429,91.0,144,89.186806
5745,430,91.0,351,85.84178
10346,431,91.0,786,80.43392
5576,432,91.0,25,93.46235
11416,433,91.0,350,85.84178
11490,434,90.66666666666669,287,86.54498
5198,435,90.66666666666669,59,90.327934
9067,436,90.66666666666669,181,88.44236
5353,437,90.66666666666669,333,85.84178
9050,438,90.66666666666669,332,85.84178
8084,439,90.66666666666669,307,86.49682
9071,440,90.66666666666669,345,85.84178
8691,441,90.66666666666669,2295,60.98109
5914,442,90.66666666666669,49,90.327934
3808,443,90.66666666666669,625,82.63668
43,444,90.66666666666669,1865,67.169014
701,445,90.66666666666669,1324,73.317795
11350,446,90.66666666666669,314,86.49682
10152,447,90.66666666666669,824,80.43392
9647,448,90.66666666666669,74,90.26606
10241,449,90.66666666666669,360,85.84178
2096,450,90.66666666666669,2513,56.448315
9049,451,90.66666666666669,997,78.76075
5884,452,90.66666666666669,998,78.76075
3759,453,90.66666666666669,2141,63.15874
6188,454,90.66666666666669,463,85.33131
1131,455,90.66666666666669,348,85.84178
4265,456,90.33333333333331,933,80.072296
971,457,90.33333333333331,1784,67.22543
10341,458,90.33333333333331,365,85.84178
7999,459,90.33333333333331,82,90.26606
5044,460,90.33333333333331,1125,76.1609
4397,461,90.33333333333331,2003,65.20687
6723,462,90.33333333333331,1672,68.158806
5554,463,90.33333333333331,93,90.20518
11426,464,90.33333333333331,936,78.78459
1820,465,90.33333333333331,1563,68.26719
8931,466,90.33333333333331,1578,68.26719
12259,467,90.33333333333331,211,88.42003
7296,468,90.33333333333331,397,85.84178
8068,469,90.33333333333331,127,89.330086
9772,470,90.33333333333331,342,85.84178
6207,471,90.33333333333331,297,86.54498
5050,472,90.33333333333331,629,82.63668
6128,473,90.33333333333331,165,88.44236
4495,474,90.33333333333331,130,89.330086
3390,475,90.33333333333331,2224,60.99363
5244,476,90.33333333333331,1095,76.1609
5980,477,90.33333333333331,631,82.63668
5290,478,90.33333333333331,1310,73.317795
4437,479,90.33333333333331,1021,78.76075
10410,480,90.33333333333331,753,80.59065
4623,481,90.0,878,80.43392
10190,482,90.0,886,80.43392
8119,483,90.0,86,90.26606
5593,484,90.0,404,85.84178
11636,485,90.0,1160,75.871025
2489,486,90.0,202,88.42003
12266,487,90.0,2507,56.448315
6322,488,90.0,1051,76.758995
2830,489,90.0,932,80.072296
9833,490,90.0,124,89.330086
2135,491,90.0,166,88.44236
2574,492,90.0,943,78.78459
9814,493,90.0,885,80.43392
7267,494,90.0,1821,67.169014
6846,495,90.0,1356,73.244995
9388,496,90.0,295,86.54498
11383,497,90.0,389,85.84178
5027,498,90.0,20,93.46235
5041,499,89.66666666666667,600,82.63668
6436,500,89.66666666666667,482,82.78222
2411,501,89.66666666666667,597,82.63668
11665,502,89.66666666666667,598,82.63668
11877,503,89.66666666666667,599,82.63668
344,504,89.66666666666667,368,85.84178
11445,505,89.66666666666667,899,80.43392
1107,506,89.66666666666667,1939,65.97616
6473,507,89.66666666666667,262,86.54498
7501,508,89.66666666666667,709,80.673836
10762,509,89.66666666666667,667,82.206276
3250,510,89.66666666666667,901,80.43392
6160,511,89.66666666666667,694,81.264694
4970,512,89.66666666666667,231,88.42003
8878,513,89.66666666666667,70,90.26606
11568,514,89.66666666666667,1139,75.871025
7084,515,89.66666666666667,1136,75.871025
10422,516,89.66666666666667,1346,73.244995
11394,517,89.66666666666667,459,85.33131
3981,518,89.66666666666667,1122,76.1609
5995,519,89.66666666666667,399,85.84178
11896,520,89.66666666666667,119,89.330086
4363,521,89.66666666666667,1859,67.169014
8507,522,89.66666666666667,902,80.43392
11885,523,89.33333333333333,608,82.63668
10652,524,89.33333333333333,65,90.26606
1564,525,89.33333333333333,2258,60.99363
8982,526,89.33333333333333,6,93.46235
6085,527,89.33333333333333,975,78.78459
9839,528,89.33333333333333,869,80.43392
4190,529,89.33333333333333,867,80.43392
7334,530,89.33333333333333,234,88.42003
1074,531,89.33333333333333,258,86.54498
10755,532,89.33333333333333,1854,67.169014
8274,533,89.33333333333333,609,82.63668
158,534,89.33333333333333,1115,76.1609
4294,535,89.33333333333333,610,82.63668
898,536,89.33333333333333,1173,75.68213
6149,537,89.33333333333333,741,80.59065
1138,538,89.33333333333333,645,82.206276
12239,539,89.33333333333333,215,88.42003
8591,540,89.33333333333333,1493,68.34153
10498,541,89.33333333333333,648,82.206276
9033,542,89.33333333333333,380,85.84178
11632,543,89.33333333333333,833,80.43392
363,544,89.33333333333333,602,82.63668
5832,545,89.33333333333333,1660,68.158806
11111,546,89.33333333333333,846,80.43392
9468,547,89.33333333333333,1177,75.68213
4534,548,89.33333333333333,601,82.63668
1135,549,89.33333333333333,370,85.84178
12345,550,89.33333333333333,263,86.54498
2647,551,89.33333333333333,1014,78.76075
9568,552,89.33333333333333,756,80.59065
11108,553,89.33333333333333,371,85.84178
7251,554,89.33333333333333,375,85.84178
4925,555,89.33333333333333,1022,78.76075
5878,556,89.33333333333333,690,81.264694
9236,557,89.33333333333333,682,81.264694
486,558,89.33333333333333,2351,60.929832
6947,559,89.33333333333333,1090,76.758995
12063,560,89.33333333333333,27,93.3149
10605,561,89.0,843,80.43392
1222,562,89.0,151,89.186806
4890,563,89.0,848,80.43392
6363,564,89.0,169,88.44236
9572,565,89.0,728,80.673836
5184,566,89.0,640,82.63668
9949,567,89.0,638,82.63668
12333,568,89.0,390,85.84178
5907,569,89.0,217,88.42003
12031,570,89.0,643,82.63668
2468,571,89.0,1127,76.1609
6828,572,89.0,726,80.673836
10295,573,89.0,1862,67.169014
5316,574,89.0,335,85.84178
6749,575,89.0,1804,67.22543
6939,576,89.0,1610,68.26719
1057,577,89.0,45,90.327934
6660,578,89.0,603,82.63668
5137,579,89.0,1232,75.64504
8500,580,89.0,2282,60.98109
3903,581,88.66666666666667,592,82.63668
7811,582,88.66666666666667,1176,75.68213
10802,583,88.66666666666667,1103,76.1609
5402,584,88.66666666666667,1262,73.317795
12351,585,88.66666666666667,979,78.78459
2692,586,88.66666666666667,113,89.330086
3934,587,88.66666666666667,2982,50.199165
9163,588,88.66666666666667,1161,75.871025
4417,589,88.66666666666667,1158,75.871025
9353,590,88.66666666666667,560,82.63668
904,591,88.66666666666667,590,82.63668
6214,592,88.66666666666667,988,78.76075
3288,593,88.66666666666667,3096,49.128265
96,594,88.66666666666667,1290,73.317795
6587,595,88.66666666666667,1898,66.42657
4667,596,88.66666666666667,1929,65.97616
6631,597,88.66666666666667,382,85.84178
2313,598,88.66666666666667,1354,73.244995
4431,599,88.66666666666667,1080,76.758995
12176,600,88.66666666666667,147,89.186806
10515,601,88.66666666666667,408,85.84178
11770,602,88.33333333333333,1697,68.158806
7254,603,88.33333333333333,1360,73.244995
5024,604,88.33333333333333,736,80.673836
4485,605,88.33333333333333,539,82.63668
2331,606,88.33333333333333,1636,68.17008
9763,607,88.33333333333333,479,82.78222
35,608,88.33333333333333,935,80.072296
9872,609,88.33333333333333,1283,73.317795
7263,610,88.33333333333333,970,78.78459
7355,611,88.33333333333333,100,90.12629
3088,612,88.33333333333333,1674,68.158806
11125,613,88.33333333333333,977,78.78459
12410,614,88.33333333333333,1169,75.68213
12114,615,88.33333333333333,1000,78.76075
4811,616,88.33333333333333,372,85.84178
6898,617,88.33333333333333,226,88.42003
5938,618,88.33333333333333,767,80.59065
4507,619,88.33333333333333,2203,61.0464
11300,620,88.33333333333333,1242,73.317795
505,621,88.33333333333333,1704,68.158806
8333,622,88.33333333333333,928,80.072296
8340,623,88.33333333333333,2365,60.929832
5434,624,88.33333333333333,520,82.63668
225,625,88.33333333333333,1879,66.42657
11526,626,88.33333333333333,267,86.54498
3168,627,88.33333333333333,477,82.78222
5910,628,88.33333333333333,276,86.54498
11133,629,88.33333333333333,374,85.84178
8357,630,88.33333333333333,533,82.63668
9114,631,88.33333333333333,883,80.43392
11634,632,88.33333333333333,2363,60.929832
6867,633,88.33333333333333,1511,68.34153
9294,634,88.0,1603,68.26719
7354,635,88.0,12,93.46235
11664,636,88.0,1884,66.42657
12182,637,88.0,1026,78.76075
11009,638,88.0,774,80.59065
7825,639,88.0,510,82.63668
11221,640,88.0,508,82.63668
3307,641,88.0,377,85.84178
918,642,88.0,1280,73.317795
7624,643,88.0,505,82.63668
3500,644,88.0,1399,71.847435
7069,645,88.0,173,88.44236
8796,646,88.0,1386,71.847435
1457,647,88.0,2048,65.1129
8428,648,88.0,62,90.26606
2181,649,88.0,829,80.43392
11794,650,88.0,1594,68.26719
1949,651,88.0,969,78.78459
11345,652,88.0,1273,73.317795
2664,653,88.0,1092,76.758995
3809,654,87.66666666666667,2042,65.1129
6126,655,87.66666666666667,841,80.43392
10122,656,87.66666666666667,1296,73.317795
1563,657,87.66666666666667,1047,76.758995
7010,658,87.66666666666667,1196,75.68213
11997,659,87.66666666666667,1099,76.1609
12093,660,87.66666666666667,1609,68.26719
11457,661,87.66666666666667,405,85.84178
2511,662,87.66666666666667,1344,73.244995
6903,663,87.66666666666667,1265,73.317795
10188,664,87.66666666666667,1981,65.20687
3067,665,87.66666666666667,1574,68.26719
11954,666,87.66666666666667,699,81.264694
5529,667,87.66666666666667,52,90.327934
9376,668,87.66666666666667,403,85.84178
10825,669,87.66666666666667,402,85.84178
11302,670,87.66666666666667,836,80.43392
8024,671,87.66666666666667,200,88.42003
656,672,87.66666666666667,1738,67.22543
5099,673,87.66666666666667,406,85.84178
11169,674,87.66666666666667,154,89.186806
12037,675,87.66666666666667,176,88.44236
7843,676,87.66666666666667,862,80.43392
10505,677,87.66666666666667,672,82.206276
8448,678,87.66666666666667,407,85.84178
1065,679,87.66666666666667,1019,78.76075
77,680,87.66666666666667,673,82.206276
4256,681,87.66666666666667,1554,68.26719
8251,682,87.66666666666667,38,90.327934
12039,683,87.66666666666667,1293,73.317795
11527,684,87.66666666666667,516,82.63668
7092,685,87.66666666666667,499,82.63668
11063,686,87.66666666666667,868,80.43392
3157,687,87.66666666666667,515,82.63668
7806,688,87.66666666666667,976,78.78459
7154,689,87.66666666666667,871,80.43392
8184,690,87.66666666666667,514,82.63668
5375,691,87.66666666666667,32,90.64682
8198,692,87.33333333333333,1629,68.17008
4510,693,87.33333333333333,1216,75.64504
8145,694,87.33333333333333,840,80.43392
10673,695,87.33333333333333,689,81.264694
4266,696,87.33333333333333,581,82.63668
4119,697,87.33333333333333,2035,65.1129
1320,698,87.33333333333333,1478,71.651375
4374,699,87.33333333333333,584,82.63668
3075,700,87.33333333333333,395,85.84178
4021,701,87.33333333333333,579,82.63668
2261,702,87.33333333333333,1118,76.1609
8327,703,87.33333333333333,58,90.327934
6694,704,87.33333333333333,294,86.54498
6224,705,87.33333333333333,299,86.54498
6428,706,87.33333333333333,1524,68.34153
2883,707,87.33333333333333,2367,60.929832
6476,708,87.33333333333333,398,85.84178
5081,709,87.33333333333333,490,82.78222
12403,710,87.33333333333333,1616,68.26719
8908,711,87.33333333333333,679,81.264694
12335,712,87.33333333333333,1006,78.76075
8306,713,87.33333333333333,2117,63.15874
9844,714,87.33333333333333,837,80.43392
3631,715,87.0,1677,68.158806
6768,716,87.0,567,82.63668
11829,717,87.0,1323,73.317795
7115,718,87.0,1195,75.68213
11370,719,87.0,1316,73.317795
4338,720,87.0,1141,75.871025
11409,721,87.0,209,88.42003
243,722,87.0,481,82.78222
3229,723,87.0,1536,68.34153
7140,724,87.0,474,82.78222
5356,725,87.0,551,82.63668
10198,726,87.0,1303,73.317795
6711,727,87.0,903,80.43392
7401,728,87.0,1168,75.68213
3238,729,87.0,1783,67.22543
10938,730,87.0,927,80.072296
4598,731,87.0,2394,60.06171
11754,732,87.0,1172,75.68213
5310,733,87.0,364,85.84178
3526,734,87.0,1680,68.158806
10968,735,87.0,199,88.42003
5992,736,87.0,702,80.673836
8909,737,87.0,1223,75.64504
2340,738,87.0,393,85.84178
